frame_number,frame_time_ms,total_steps,rays_hit,rays_missed,min_steps,max_steps
1,25.9788,167973666,2583158,1103242,5,976
2,0.2968,182851711,2369586,1316814,5,926
3,9.5290,193457463,2171810,1514590,3,1065
4,6.6774,200667679,1986848,1699552,7,871
5,6.7545,207328192,1803184,1883216,9,925
6,6.7795,211944675,1616638,2069762,8,910
7,6.9041,218208066,1418414,2267986,7,823
8,6.6382,229900649,1216159,2470241,5,891
9,8.4278,243365537,1006641,2679759,13,963
10,8.4042,257528320,777051,2909349,16,925
11,7.1748,269966803,518045,3168355,24,1099
12,6.7918,274570665,224542,3461858,31,946
13,4.0663,277730498,5898,3680502,104,500
14,3.9942,285261459,0,3686400,161,497
15,4.1912,290870853,0,3686400,161,499
16,4.2802,296166216,0,3686400,161,496
17,3.9616,301130008,0,3686400,160,498
18,4.1079,305684893,0,3686400,161,525
19,4.2606,307576962,0,3686400,161,530
20,4.5208,311350550,0,3686400,161,524
21,4.5139,313887493,0,3686400,161,529
22,4.4694,312421537,0,3686400,160,526
23,4.3543,309783338,0,3686400,161,529
24,4.2441,307308680,0,3686400,160,528
25,4.2411,305551482,0,3686400,161,531
26,4.2519,303546259,0,3686400,161,531
27,4.1892,300846860,0,3686400,161,536
28,4.0375,296052640,0,3686400,161,527
29,10.7881,305476691,258968,3427432,45,1296
30,11.6877,294262226,553280,3133120,20,1179
31,10.5303,278287113,814808,2871592,18,1355
32,9.9740,264933919,1045320,2641080,11,1178
33,9.8603,251747294,1254526,2431874,8,1059
34,10.0095,244150251,1450549,2235851,8,1158
35,9.3047,237097600,1644424,2041976,3,1061
36,9.9713,228446435,1830607,1855793,5,1121
37,8.8980,216955793,2016372,1670028,6,1195
38,8.9813,204141472,2204305,1482095,7,1626
39,8.3498,191093169,2405274,1281126,3,1457
40,8.4698,176579897,2619241,1067159,4,1240
41,8.6235,160685830,2841197,845203,4,1977
42,7.9271,144123387,3093722,592678,4,1247
43,7.8538,128664339,3383279,303121,4,1379
44,7.1025,115893295,3672866,13534,3,1207
45,7.2904,87858797,3683490,2910,2,552
46,3.9171,80487660,3670977,15423,4,552
47,3.8295,74460013,3669503,16897,4,551
48,3.6924,74033344,3674124,12276,4,574
49,3.7029,76238765,3662705,23695,4,2001
50,3.4077,68694626,3663924,22476,3,567
51,3.2901,63585247,3673149,13251,3,552
52,3.4183,64919500,3676779,9621,4,532
53,3.3447,67326596,3671382,15018,4,532
54,3.3446,68000364,3670554,15846,3,527
55,3.4914,74258030,3665763,20637,3,522
56,3.4875,81037903,3667729,18671,2,530
57,4.0956,97023978,3667541,18859,4,792
58,5.6317,113893190,3646779,39621,4,921
59,5.6615,118590101,3324081,362319,5,1040
60,5.6526,125225013,3042987,643413,2,924
61,5.6140,133743127,2781763,904637,4,778
62,7.0730,138559087,2571386,1115014,5,707
63,5.5307,149025875,2363573,1322827,5,781
64,5.1993,160282265,2170576,1515824,4,682
65,5.4695,174955938,1983570,1702830,5,915
66,5.9950,192319199,1808229,1878171,9,759
67,8.8870,212378040,1637847,2048553,5,736
68,6.4199,235538454,1446158,2240242,9,792
69,7.6150,256320176,1238672,2447728,12,856
70,7.5480,271594739,1017963,2668437,15,924
71,7.7843,281619613,781520,2904880,16,1034
72,8.2158,286155555,514674,3171726,21,1012
73,8.8430,281721275,207003,3479397,35,1182
74,4.1090,279965861,0,3686400,149,495
75,4.0909,283318386,0,3686400,160,498
76,4.1320,288016135,0,3686400,161,507
77,4.1502,294420864,0,3686400,160,530
78,4.3645,301551218,0,3686400,161,560
79,5.0839,307214189,0,3686400,160,551
80,4.4791,310697667,0,3686400,161,550
81,4.5151,311363729,0,3686400,161,550
82,4.4828,309623748,0,3686400,160,549
83,4.2244,306474484,0,3686400,161,554
84,4.1168,304042251,0,3686400,160,551
85,5.9248,302761874,0,3686400,161,551
86,4.5359,302411194,0,3686400,161,555
87,4.2647,303102032,271,3686129,101,553
88,9.6569,312072005,155778,3530622,22,1507
89,11.0605,312045891,466385,3220015,21,1516
90,11.5287,307004166,736815,2949585,17,1401
91,10.7155,291451586,972472,2713928,15,1525
92,10.5106,270883238,1190153,2496247,9,1508
93,9.8173,250541432,1391868,2294532,10,1374
94,9.3674,230313548,1584140,2102260,6,1563
95,9.3032,217676666,1772769,1913631,6,1465
96,9.2380,207139873,1958086,1728314,5,1638
97,9.1580,198348121,2145652,1540748,3,1278
98,9.0180,189445322,2338440,1347960,4,1367
99,9.1656,179756327,2542518,1143882,4,1263
100,9.2445,168469389,2764307,922093,5,1526
101,9.1620,157515509,2992390,694010,4,1640
102,9.0033,140662647,3274157,412243,6,1537
103,8.7428,119079291,3613312,73088,3,1736
104,4.3040,95846870,3650641,35759,4,825
105,3.6188,79099961,3659778,26622,4,572
106,3.3750,69211508,3661923,24477,4,575
107,3.3286,72928762,3628942,57458,4,596
108,3.1543,68457934,3647177,39223,3,587
109,2.9650,66749738,3649386,37014,3,561
110,2.8221,58194018,3659127,27273,3,574
111,2.8493,53754970,3660276,26124,2,563
112,2.8676,50851591,3666552,19848,2,580
113,3.0396,53085576,3668772,17628,4,538
114,3.1810,63359384,3652251,34149,3,510
115,3.3870,74016575,3647157,39243,3,584
116,3.5896,84837477,3656967,29433,3,654
117,7.0525,98077785,3673950,12450,3,857
118,6.8881,108458596,3437455,248945,4,737
119,7.4430,117610159,3125391,561009,3,816
120,4.7206,123431598,2875375,811025,4,769
121,5.6037,131986930,2644168,1042232,5,764
122,7.5745,138437878,2436215,1250185,2,875
123,6.7630,146962684,2238665,1447735,5,644
124,7.5679,154185558,2048720,1637680,2,703
125,7.8942,161899786,1865319,1821081,4,711
126,4.8456,175009526,1678185,2008215,5,750
127,6.7031,190855348,1489533,2196867,7,806
128,5.3475,209342163,1283524,2402876,8,902
129,5.5595,232330372,1074573,2611827,9,734
130,6.0706,253039420,854668,2831732,13,699
131,5.7845,265283207,614145,3072255,23,680
132,5.5939,267213502,333262,3353138,27,790
133,4.1192,270217471,28963,3657437,92,497
134,4.0919,275329641,0,3686400,144,495
135,4.1119,280300859,0,3686400,157,494
136,4.0899,285670247,0,3686400,161,498
137,4.1257,291609283,0,3686400,161,515
138,4.3561,298057321,0,3686400,161,546
139,4.4958,304146768,0,3686400,160,572
140,4.5047,307811636,0,3686400,161,571
141,4.3039,305625565,0,3686400,160,582
142,4.3465,302824051,0,3686400,160,583
143,4.2291,299297369,0,3686400,161,574
144,4.5705,295420850,0,3686400,161,574
145,4.0526,293629011,0,3686400,161,579
