generation_time_ms,flatten_time_ms
12169,3595
10995,3402
10018,3216
8788,3056
8667,3087
8541,2931
8618,2911
8676,2979
8474,2986
8731,3514
9082,2917
8239,2907
9196,3410
8825,3034
9265,3197
9161,3122
8632,2866
8586,2941
8289,2890
8944,3103
9019,3143
8598,2900
8544,2923
8442,2832
8719,3082
8467,2932
9174,2927
8897,3010
8984,3083
8691,2925
8578,2927
8561,2942
8926,3306
9549,3252
9464,3197
8814,3236
9294,3361
9487,3269
9413,3200
9268,3165
9889,3577
9333,3307
9074,3008
8959,3049
9033,3120
9771,3673
9893,3453
9025,3418
9915,3567
9790,3528
9780,3913
9001,3042
9680,3777
9364,3399
9146,3201
9391,3402
9340,3170
9362,3214
9572,3498
9690,3572
9552,3850
9048,3055
10056,3722
9315,3409
10086,3744
9596,3818
9770,3821
10007,3498
9015,3489
9848,3508
9902,3540
9757,3798
9718,3432
9592,3364
9474,3483
9563,3942
9306,3503
9382,3084
10115,3300
9697,3475
9530,3363
8947,3515
8804,3185
9399,3343
9233,3285
10042,3284
9320,3732
9500,3474
10183,3750
10125,3413
9636,3371
9950,3420
9582,3490
9209,3625
9170,3594
9674,3101
8287,3076
9551,2947
9798,3374
9792,3482
